Uuid,Mappings|SAME-AS|OpenBoxes,Name,Concept Drug,Concept Dosage Form
78faa9b8-dfbe-11e9-8a34-2a2ae2dbcce4,14074,"Abacavir (ABC) sulfate 60mg + Lamivudine (3TC) 30mg, tablet for oral suspension",CIEL:103166,Tablet,
78f9712e-dfbe-11e9-8a34-2a2ae2dbcce4,10924,"Abacavir sulfate (ABC) 600mg + Lamivudine (3TC) 300mg tablet",CIEL:103166,Tablet,
8d5941e8-5f86-4289-a6ba-122320814bd5,10194,"Acetylsalicylic acid, 100mg tablet",CIEL:71617,Tablet,
f59e2729-faeb-46b2-981a-881a8f24d2a1,12885,"Acetylsalicylic acid, 75mg dispersible tablet",CIEL:71617,Tablet,
0962492b-295e-4f61-8d7b-717a61f43997,11059,"Aciclovir, 200mg tablet",CIEL:70245,Tablet,
f1403640-6911-4758-bbdb-183329c65708,10333,"Aciclovir, Eye ointment, 3%, 4.5 gram tube",CIEL:70245,Tube,
22744753-9e10-4f93-a324-378f737a7c39,11919,"Aciclovir, Powder for solution for infusion, 250mg vial",CIEL:70245,Vial,
13c36efa-f117-4554-8461-53d0c078fe96,11323,"Adrenaline (Epinephrine), Solution for injection, 1mg/mL (1:1,000), 1mL ampoule",CIEL:154365,Ampule(s),
fc6b54fb-285b-489c-9298-b24dbcc54b41,11804,"Adrenaline (Epinephrine), Solution for injection, 100 microgram/mL (1:10,000), 10mL prefilled syring",CIEL:154365,Syringe,
af52a21e-0081-459e-8aeb-611330790985,10369,"Albendazole, 200mg chewable tablet",CIEL:70439,Tablet,
8112cd30-ae2a-11e4-ab27-0800200c9a66,10625,"Albendazole, 400mg chewable tablet",CIEL:70439,Tablet,
c6a8d8ae-fce4-11e9-8f0b-362b9e155667,10057,"Allopurinol, 100mg tablet",CIEL:70878,Tablet,
219685e2-dcb1-48f8-b4ff-1d19325ce097,10004,"Aluminium hydroxide 120mg + magnesium hydroxide 250mg, tablet",CIEL:103526,Tablet,
5815a762-e68a-42dc-aea9-57957260d44b,11338,"Aminophylline, Solution for injection, 25mg/mL, 10mL ampoule",CIEL:71101,Ampule(s),
5edb194a-70bf-4fbf-b2ca-4dce586af7f3,11109,"Amitriptyline hydrochloride, 25mg coated tablet",CIEL:931,Tablet,
4728aa84-9962-4350-ba9e-50e195b129c2,12660,"Amlodipine besylate, 10mg tablet",CIEL:71138,Tablet,
6620289c-cc66-4892-9b2d-ecc40c746945,10667,"Amlodipine besylate, 5mg tablet",CIEL:71138,Tablet,
c6a8db56-fce4-11e9-8f0b-362b9e155667,12292,"Amoxicillin 125mg + clavulanic acid 31.25mg/mL, Powder for oral suspension, 100mL bottle",CIEL:450,
f588e356-42a6-4180-9d8e-405acce150d6,12498,"Amoxicillin 500mg + clavulanic acid 100mg, Powder for solution for injection, vial",CIEL:450,
5c2ffaf4-0a6e-462b-9d0c-a2c3fa25b556,10284,"Amoxicillin 500mg + clavulanic acid 125mg tablet",CIEL:450,
e44e261f-aeed-4125-9acb-8f6653c36fc0,24308,"Amoxicillin 500mg + clavulanic acid solution for injection 1 gram vial",CIEL:450,
8dabf09a-9279-4a59-bdd3-ab80dbe224f8,24308,"Amoxicillin 1g + clavulanic acid 200mg, Powder for solution for injection, vial",CIEL:450,
c6a8dcb4-fce4-11e9-8f0b-362b9e155667,12235,"Amoxicillin, 250mg tablet",CIEL:71160,
1491ae88-f38c-4a8c-94d5-f8385eb3b9d9,11794,"Amoxicillin, 500mg tablet",CIEL:71160,
16837210-79c4-4909-9747-d9af46b93f0b,11342,"Amoxicillin, Powder for oral suspension, 125mg/5mL, 100mL bottle",CIEL:71160,
1f7c1ff6-9dff-4ce3-9f56-d7da12513869,11659,"Amoxicillin, Powder for oral suspension, 250mg/5mL, 100mL bottle",CIEL:71160,
7aefc3c7-6a19-46bd-a99f-684de0e65fd3,14152,"Amphotericin B, Liposomal, Powder for injection, 50mg vial",CIEL:71187,
03ff6c64-aaf2-4cd8-9e8f-164766f8b389,18020,"Ampicillin, 250mg capsule",CIEL:71188,
0c29702a-9224-465d-8ec1-e45b8f56fbed,10583,"Ampicillin, Powder for solution for injection, 1 gram vial",CIEL:71188,
0fa4f986-7c0d-4105-87a9-5379d45672ce,10335,"Ampicillin, Powder for solution for injection, 500mg vial",CIEL:71188,
85508cd5-4337-436f-aaa3-f2814328d0f1,12227,"Anti-snake venom serum, Africa region, Polyvalent, Lyophilised + solvent, 10 mL vial",CIEL:165460,
c6a93772-fce4-11e9-8f0b-362b9e155667,20788,"Artemether (A) 20mg + lumefantrine (L) 120mg tablet, 6 blisters of 1 dispersible tablet (5 to <15kg)",CIEL:1447,
c6a93948-fce4-11e9-8f0b-362b9e155667,12283,"Artemether (A) 20mg + lumefantrine (L) 120mg tablet, Pack of 6 blisters of 3 tablet (25-35Kg)",CIEL:1447,
c6a94230-fce4-11e9-8f0b-362b9e155667,12347,"Artemether (A) 20mg + lumefantrine (L) 120mg tablet, Pack of 6 blisters of 4 tablets (Adult, >35kg)",CIEL:1447,
c6a943d4-fce4-11e9-8f0b-362b9e155667,12287,"Artemether (A) 20mg + lumefantrine (L) 120mg tablet,Pack of 6 blisters of 2 disp tablets (15-25kg)",CIEL:1447,
c6a8e7fe-fce4-11e9-8f0b-362b9e155667,12269,"Artemether, Solution for injection, 80mg/mL, 1mL ampoule",CIEL:71560,
c6a9450a-fce4-11e9-8f0b-362b9e155667,12152,"Artesunate, 60mg powder for reconstitution, with 5mL sodium chloride and 1mL sodium bicarbonate 5%",CIEL:71561,
c8d3444c-41a4-48d3-9ec1-811fe7b27d99,12200,"Ascorbic acid (Vitamin C), 250mg tablet",CIEL:71589,
78f95d38-dfbe-11e9-8a34-2a2ae2dbcce4,10105,"Atazanavir sulfate (ATV) 300mg + Ritonavir (r) 100mg tablet",CIEL:159809,
2f8d7a99-d4ec-4ad7-b898-1c953cb332fd,10993,"Atenolol, 50mg tablet",PIH:3186,
de52fb2b-88a6-4698-a0e8-cdae066cee07,12372,"Atracurium besylate, Solution for injection, 10mg/mL, 5mL ampoule",CIEL:71671,
cd45f669-a824-4390-8302-9e9c8fd3082d,10781,"Atropine sulfate, Solution for injection, 1mg/mL, 1mL ampoule",CIEL:71682,
0bf45aa3-b0e6-48c6-80ed-61ceb29eda15,13143,"Azithromycin, 250mg tablet",CIEL:71780,
a40da2e0-c981-11e7-abc4-cec278b6b50a,11579,"Azithromycin, 500mg tablet",PIH:735,
9c2958f7-90c4-488f-8741-445c0bae15ee,10754,"Beclomethasone, Solution for inhalation, 50 microgram/actuation, 200 dose metered dose inhaler ",CIEL:71916,
ab912f78-2112-4e87-aca7-1ded71e8a04b,11196,"Benzathine benzylpenicillin, Powder for solution for injection, 2.4 MIU vial",PIH:4034,
289d9476-1bcc-4250-a04e-934c1b212119,11760,"Benzoic acid 6% + Salicylic acid 3%, Skin ointment, 40 gram tube",CIEL:72050,
922bfb9f-3db1-45b3-92b1-d1218b49eedd,10793,"Benzylbenzoate, Skin lotion, 25%, 1000mL bottle",PIH:409,
d75c69a0-bd7d-424c-9926-0ba371efe9f4,12157,"Benzylbenzoate, Skin lotion, 25%, 200mL bottle",CIEL:409,
c6a8ddea-fce4-11e9-8f0b-362b9e155667,11924,"Benzylpenicillin procaine, Powder for solution for injection, 4 MIU vial",CIEL:159587,
59ce106d-d9a9-4366-abff-97abb6ff8f9a,11757,"Bisacodyl, 5mg enteric coated tablet",PIH:4042,
